frontend_id,id,title,title_slug,url,created_at_approx,difficulty,likes,dislikes,topic_tags,example_test_cases
615,615,Average Salary: Departments VS Company,average-salary-departments-vs-company,https://leetcode.com/problems/average-salary-departments-vs-company/,2017-06-06,Hard,241,76,Database,"{""headers"":{""Salary"":[""id"",""employee_id"",""amount"",""pay_date""],""Employee"":[""employee_id"",""department_id""]},""rows"":{""Salary"":[[1,1,9000,""2017/03/31""],[2,2,6000,""2017/03/31""],[3,3,10000,""2017/03/31""],[4,1,7000,""2017/02/28""],[5,2,6000,""2017/02/28""],[6,3,8000,""2017/02/28""]],""Employee"":[[1,1],[2,2],[3,2]]}}"
772,785,Basic Calculator III,basic-calculator-iii,https://leetcode.com/problems/basic-calculator-iii/,2018-01-23,Hard,1166,293,Math;String;Stack;Recursion,"""1+1""\n""6-4/2""\n""2*(5+5*2)/3+(6/2+8)"""
770,781,Basic Calculator IV,basic-calculator-iv,https://leetcode.com/problems/basic-calculator-iv/,2018-01-20,Hard,179,1437,Hash Table;Math;String;Stack;Recursion,"""e + 8 - a + 5""\n[""e""]\n[1]\n""e - 8 + temperature - pressure""\n[""e"", ""temperature""]\n[1, 12]\n""(e + 8) * (e - 8)""\n[]\n[]"
224,224,Basic Calculator,basic-calculator,https://leetcode.com/problems/basic-calculator/,2015-06-09,Hard,6696,540,Math;String;Stack;Recursion,"""1 + 1""\n"" 2-1 + 2 ""\n""(1+(4+5+2)-3)+(6+8)"""
2613,2719,Beautiful Pairs,beautiful-pairs,https://leetcode.com/problems/beautiful-pairs/,2023-04-06,Hard,18,2,Array;Math;Divide and Conquer;Geometry;Sorting;Ordered Set,"[1,2,3,2,4]\n[2,3,1,2,3]\n[1,2,4,3,2,5]\n[1,4,2,3,5,1]"
296,296,Best Meeting Point,best-meeting-point,https://leetcode.com/problems/best-meeting-point/,2015-10-22,Hard,1202,107,Array;Math;Sorting;Matrix,"[[1,0,0,0,1],[0,0,0,0,0],[0,0,1,0,0]]\n[[1,1]]"
1515,1638,Best Position for a Service Centre,best-position-for-a-service-centre,https://leetcode.com/problems/best-position-for-a-service-centre/,2020-07-12,Hard,242,272,Array;Math;Geometry;Randomized,"[[0,1],[1,0],[1,2],[2,1]]\n[[1,1],[3,3]]"
123,123,Best Time to Buy and Sell Stock III,best-time-to-buy-and-sell-stock-iii,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iii/,2014-07-23,Hard,10218,210,Array;Dynamic Programming,"[3,3,5,0,0,3,1,4]\n[1,2,3,4,5]\n[7,6,4,3,1]"
188,188,Best Time to Buy and Sell Stock IV,best-time-to-buy-and-sell-stock-iv,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iv/,2015-02-17,Hard,7774,218,Array;Dynamic Programming,"2\n[2,4,1]\n2\n[3,2,6,5,0,3]"
968,1008,Binary Tree Cameras,binary-tree-cameras,https://leetcode.com/problems/binary-tree-cameras/,2018-12-29,Hard,5519,85,Dynamic Programming;Tree;Depth-First Search;Binary Tree,"[0,0,null,0,0]\n[0,0,null,0,null,0,null,null,0]"
124,124,Binary Tree Maximum Path Sum,binary-tree-maximum-path-sum,https://leetcode.com/problems/binary-tree-maximum-path-sum/,2013-11-30,Hard,17696,768,Dynamic Programming;Tree;Depth-First Search;Binary Tree,"[1,2,3]\n[-10,9,20,null,null,15,7]"
3161,3435,Block Placement Queries,block-placement-queries,https://leetcode.com/problems/block-placement-queries/,2024-05-25,Hard,133,28,Array;Binary Search;Binary Indexed Tree;Segment Tree,"[[1,2],[2,3,3],[2,3,1],[2,2,2]]\n[[1,7],[2,7,6],[1,2],[2,7,5],[2,7,6]]"
2286,2380,Booking Concert Tickets in Groups,booking-concert-tickets-in-groups,https://leetcode.com/problems/booking-concert-tickets-in-groups/,2022-05-28,Hard,345,60,Binary Search;Design;Binary Indexed Tree;Segment Tree,"[""BookMyShow"",""gather"",""gather"",""scatter"",""scatter""]\n[[2,5],[4,0],[2,0],[5,1],[5,1]]"
1096,1188,Brace Expansion II,brace-expansion-ii,https://leetcode.com/problems/brace-expansion-ii/,2019-06-23,Hard,495,292,String;Backtracking;Stack;Breadth-First Search,"""{a,b}{c,{d,e}}""\n""{{a,z},a{b,c},{ab,z}}"""
803,821,Bricks Falling When Hit,bricks-falling-when-hit,https://leetcode.com/problems/bricks-falling-when-hit/,2018-03-17,Hard,1166,190,Array;Union Find;Matrix,"[[1,0,0,0],[1,1,1,0]]\n[[1,0]]\n[[1,0,0,0],[1,1,0,0]]\n[[1,1],[1,0]]"
2392,2472,Build a Matrix With Conditions,build-a-matrix-with-conditions,https://leetcode.com/problems/build-a-matrix-with-conditions/,2022-08-28,Hard,1453,55,Array;Graph;Topological Sort;Matrix,"3\n[[1,2],[3,2]]\n[[2,1],[3,2]]\n3\n[[1,2],[2,3],[3,1],[2,3]]\n[[2,1]]"
1420,1535,Build Array Where You Can Find The Maximum Exactly K Comparisons,build-array-where-you-can-find-the-maximum-exactly-k-comparisons,https://leetcode.com/problems/build-array-where-you-can-find-the-maximum-exactly-k-comparisons/,2020-04-19,Hard,1411,92,Dynamic Programming;Prefix Sum,2\n3\n1\n5\n2\n3\n9\n1\n1
1597,1736,Build Binary Expression Tree From Infix Expression,build-binary-expression-tree-from-infix-expression,https://leetcode.com/problems/build-binary-expression-tree-from-infix-expression/,2020-09-24,Hard,271,48,String;Stack;Tree;Binary Tree,"""3*4-2*5""\n""2-3/(5*2)+1""\n""1+2+3+4+5"""
2118,2253,Build the Equation,build-the-equation,https://leetcode.com/problems/build-the-equation/,2021-12-26,Hard,24,38,Database,"{""headers"":{""Terms"":[""power"",""factor""]},""rows"":{""Terms"":[[2,1],[1,-4],[0,2]]}}\n{""headers"":{""Terms"":[""power"",""factor""]},""rows"":{""Terms"":[[4,-4],[2,1],[1,-1]]}}"
1739,1861,Building Boxes,building-boxes,https://leetcode.com/problems/building-boxes/,2021-01-24,Hard,310,48,Math;Binary Search;Greedy,3\n4\n10
312,312,Burst Balloons,burst-balloons,https://leetcode.com/problems/burst-balloons/,2015-11-29,Hard,9450,266,Array;Dynamic Programming,"[3,1,5,8]\n[1,5]"
815,833,Bus Routes,bus-routes,https://leetcode.com/problems/bus-routes/,2018-04-08,Hard,4488,129,Array;Hash Table;Breadth-First Search,"[[1,2,7],[3,6,7]]\n1\n6\n[[7,12],[4,5,15],[6],[15,19],[9,12,13]]\n15\n12"
3061,3369,Calculate Trapping Rain Water,calculate-trapping-rain-water,https://leetcode.com/problems/calculate-trapping-rain-water/,2024-02-28,Hard,12,6,Database,"{""headers"":{""Heights"":[""id"",""height""]},""rows"":{""Heights"":[[1,0],[2,1],[3,0],[4,2],[5,1],[6,0],[7,1],[8,3],[9,2],[10,1],[11,2],[12,1]]}}"
135,135,Candy,candy,https://leetcode.com/problems/candy/,2013-11-04,Hard,8859,806,Array;Greedy,"[1,0,2]\n[1,2,2]"
1776,1902,Car Fleet II,car-fleet-ii,https://leetcode.com/problems/car-fleet-ii/,2021-02-28,Hard,935,38,Array;Math;Stack;Heap (Priority Queue);Monotonic Stack,"[[1,2],[2,1],[4,3],[7,2]]\n[[3,4],[5,4],[6,3],[9,1]]"
1728,1727,Cat and Mouse II,cat-and-mouse-ii,https://leetcode.com/problems/cat-and-mouse-ii/,2021-01-17,Hard,283,46,Array;Math;Dynamic Programming;Graph;Topological Sort;Memoization;Matrix;Game Theory,"[""####F"",""#C..."",""M....""]\n1\n2\n[""M.C...F""]\n1\n4\n[""M.C...F""]\n1\n3"
913,949,Cat and Mouse,cat-and-mouse,https://leetcode.com/problems/cat-and-mouse/,2018-09-29,Hard,971,172,Math;Dynamic Programming;Graph;Topological Sort;Memoization;Game Theory,"[[2,5],[3],[0,4,5],[1,4,5],[2,3],[0,2,3]]\n[[1,3],[0],[3],[0,2]]"
3236,3549,CEO Subordinate Hierarchy,ceo-subordinate-hierarchy,https://leetcode.com/problems/ceo-subordinate-hierarchy/,2024-07-29,Hard,6,0,Database,"{""headers"":{""Employees"":[""employee_id"",""employee_name"",""manager_id"",""salary""]},""rows"":{""Employees"":[[1,""Alice"",null,150000],[2,""Bob"",1,120000],[3,""Charlie"",1,110000],[4,""David"",2,105000],[5,""Eve"",2,100000],[6,""Frank"",3,95000],[7,""Grace"",3,98000],[8,""Helen"",5,90000]]}}"
810,828,Chalkboard XOR Game,chalkboard-xor-game,https://leetcode.com/problems/chalkboard-xor-game/,2018-03-31,Hard,239,287,Array;Math;Bit Manipulation;Brainteaser;Game Theory,"[1,1,2]\n[0,1]\n[1,2,3]"
2307,2065,Check for Contradictions in Equations,check-for-contradictions-in-equations,https://leetcode.com/problems/check-for-contradictions-in-equations/,2022-06-15,Hard,68,27,Array;Depth-First Search;Union Find;Graph,"[[""a"",""b""],[""b"",""c""],[""a"",""c""]]\n[3,0.5,1.5]\n[[""le"",""et""],[""le"",""code""],[""code"",""et""]]\n[2,5,0.5]"
2060,2184,Check if an Original String Exists Given Two Encoded Strings,check-if-an-original-string-exists-given-two-encoded-strings,https://leetcode.com/problems/check-if-an-original-string-exists-given-two-encoded-strings/,2021-10-31,Hard,322,159,String;Dynamic Programming,"""internationalization""\n""i18n""\n""l123e""\n""44""\n""a5b""\n""c5b"""
1250,1372,Check If It Is a Good Array,check-if-it-is-a-good-array,https://leetcode.com/problems/check-if-it-is-a-good-array/,2019-11-03,Hard,544,383,Array;Math;Number Theory,"[12,5,7,23]\n[29,6,10]\n[3,6]"
2543,2635,Check if Point Is Reachable,check-if-point-is-reachable,https://leetcode.com/problems/check-if-point-is-reachable/,2023-01-21,Hard,253,52,Math;Number Theory,6\n9\n4\n7
1585,1707,Check If String Is Transformable With Substring Sort Operations,check-if-string-is-transformable-with-substring-sort-operations,https://leetcode.com/problems/check-if-string-is-transformable-with-substring-sort-operations/,2020-09-13,Hard,451,10,String;Greedy;Sorting,"""84532""\n""34852""\n""34521""\n""23415""\n""12345""\n""12435"""
3235,3478,Check if the Rectangle Corner Is Reachable,check-if-the-rectangle-corner-is-reachable,https://leetcode.com/problems/check-if-the-rectangle-corner-is-reachable/,2024-07-28,Hard,113,36,Array;Math;Depth-First Search;Breadth-First Search;Union Find;Geometry,"3\n4\n[[2,1,1]]\n3\n3\n[[1,1,2]]\n3\n3\n[[2,1,1],[1,2,1]]\n4\n4\n[[5,5,1]]"
2267,2349, Check if There Is a Valid Parentheses String Path,check-if-there-is-a-valid-parentheses-string-path,https://leetcode.com/problems/check-if-there-is-a-valid-parentheses-string-path/,2022-05-08,Hard,529,9,Array;Dynamic Programming;Matrix,"[[""("",""("",""(""],["")"",""("","")""],[""("",""("","")""],[""("",""("","")""]]\n[["")"","")""],[""("",""(""]]"
1724,1865,Checking Existence of Edge Length Limited Paths II,checking-existence-of-edge-length-limited-paths-ii,https://leetcode.com/problems/checking-existence-of-edge-length-limited-paths-ii/,2021-01-14,Hard,116,10,Union Find;Graph;Minimum Spanning Tree,"[""DistanceLimitedPathsExist"",""query"",""query"",""query"",""query""]\n[[6,[[0,2,4],[0,3,2],[1,2,3],[2,3,1],[4,5,5]]],[2,3,2],[1,3,3],[2,0,3],[0,5,6]]"
1697,1815,Checking Existence of Edge Length Limited Paths,checking-existence-of-edge-length-limited-paths,https://leetcode.com/problems/checking-existence-of-edge-length-limited-paths/,2020-12-20,Hard,2043,48,Array;Two Pointers;Union Find;Graph;Sorting,"3\n[[0,1,2],[1,2,4],[2,0,8],[1,0,16]]\n[[0,1,2],[0,2,5]]\n5\n[[0,1,10],[1,2,5],[2,3,9],[3,4,13]]\n[[0,4,14],[1,4,13]]"
1463,1559,Cherry Pickup II,cherry-pickup-ii,https://leetcode.com/problems/cherry-pickup-ii/,2020-05-30,Hard,4289,50,Array;Dynamic Programming;Matrix,"[[3,1,1],[2,5,1],[1,5,5],[2,1,1]]\n[[1,0,0,0,0,0,1],[2,0,0,0,0,3,0],[2,0,9,0,0,0,0],[0,3,0,5,4,0,0],[1,0,2,3,0,0,6]]"
741,741,Cherry Pickup,cherry-pickup,https://leetcode.com/problems/cherry-pickup/,2017-12-03,Hard,4480,167,Array;Dynamic Programming;Matrix,"[[0,1,-1],[1,0,-1],[1,1,1]]\n[[1,1,-1],[1,-1,1],[-1,1,1]]"
2143,2282,Choose Numbers From Two Arrays in Range,choose-numbers-from-two-arrays-in-range,https://leetcode.com/problems/choose-numbers-from-two-arrays-in-range/,2022-01-20,Hard,39,5,Array;Dynamic Programming,"[1,2,5]\n[2,6,3]\n[0,1]\n[1,0]"
272,272,Closest Binary Search Tree Value II,closest-binary-search-tree-value-ii,https://leetcode.com/problems/closest-binary-search-tree-value-ii/,2015-08-30,Hard,1321,49,Two Pointers;Stack;Tree;Depth-First Search;Binary Search Tree;Heap (Priority Queue);Binary Tree,"[4,2,5,1,3]\n3.714286\n2\n[1]\n0.000000\n1"
2277,2420,Closest Node to Path in Tree,closest-node-to-path-in-tree,https://leetcode.com/problems/closest-node-to-path-in-tree/,2022-05-21,Hard,138,3,Array;Tree;Depth-First Search;Breadth-First Search,"7\n[[0,1],[0,2],[0,3],[1,4],[2,5],[2,6]]\n[[5,3,4],[5,3,6]]\n3\n[[0,1],[1,2]]\n[[0,1,2]]\n3\n[[0,1],[1,2]]\n[[0,0,0]]"
1847,1957,Closest Room,closest-room,https://leetcode.com/problems/closest-room/,2021-05-01,Hard,530,21,Array;Binary Search;Sorting;Ordered Set,"[[2,2],[1,2],[3,2]]\n[[3,1],[3,3],[5,2]]\n[[1,4],[2,3],[3,5],[4,1],[5,2]]\n[[2,3],[2,4],[2,5]]"
1755,1881,Closest Subsequence Sum,closest-subsequence-sum,https://leetcode.com/problems/closest-subsequence-sum/,2021-02-07,Hard,971,70,Array;Two Pointers;Dynamic Programming;Bit Manipulation;Sorting;Bitmask,"[5,-7,3,5]\n6\n[7,-9,15,-2]\n-5\n[1,2,3]\n-7"
656,656,Coin Path,coin-path,https://leetcode.com/problems/coin-path/,2017-08-06,Hard,250,110,Array;Dynamic Programming,"[1,2,4,-1,2]\n2\n[1,2,4,-1,2]\n1"
2603,2717,Collect Coins in a Tree,collect-coins-in-a-tree,https://leetcode.com/problems/collect-coins-in-a-tree/,2023-03-26,Hard,495,16,Array;Tree;Graph;Topological Sort,"[1,0,0,0,0,1]\n[[0,1],[1,2],[2,3],[3,4],[4,5]]\n[0,0,0,1,1,0,0,1]\n[[0,1],[0,2],[1,3],[1,4],[2,5],[5,6],[5,7]]"
2647,2540,Color the Triangle Red,color-the-triangle-red,https://leetcode.com/problems/color-the-triangle-red/,2023-04-19,Hard,10,17,Array;Math,3\n2
472,472,Concatenated Words,concatenated-words,https://leetcode.com/problems/concatenated-words/,2016-12-18,Hard,3989,286,Array;String;Dynamic Programming;Depth-First Search;Trie,"[""cat"",""cats"",""catsdogcats"",""dog"",""dogcatsdog"",""hippopotamuses"",""rat"",""ratcatdogcat""]\n[""cat"",""dog"",""catdog""]"
1088,1077,Confusing Number II,confusing-number-ii,https://leetcode.com/problems/confusing-number-ii/,2019-06-15,Hard,494,144,Math;Backtracking,20\n100
829,856,Consecutive Numbers Sum,consecutive-numbers-sum,https://leetcode.com/problems/consecutive-numbers-sum/,2018-05-06,Hard,1416,1387,Math;Enumeration,5\n9\n15
2701,2853,Consecutive Transactions with Increasing Amounts,consecutive-transactions-with-increasing-amounts,https://leetcode.com/problems/consecutive-transactions-with-increasing-amounts/,2023-05-23,Hard,51,6,Database,"{""headers"":{""Transactions"":[""transaction_id"",""customer_id"",""transaction_date"",""amount""]},""rows"":{""Transactions"":[[1,101,""2023-05-01"",100],[2,101,""2023-05-02"",150],[3,101,""2023-05-03"",200],[4,102,""2023-05-01"",50],[5,102,""2023-05-03"",100],[6,102,""2023-05-04"",200],[7,105,""2023-05-01"",100],[8,105,""2023-05-02"",150],[9,105,""2023-05-03"",200],[10,105,""2023-05-04"",300],[11,105,""2023-05-12"",250],[12,105,""2023-05-13"",260],[13,105,""2023-05-14"",270]]}}"
1425,1286,Constrained Subsequence Sum,constrained-subsequence-sum,https://leetcode.com/problems/constrained-subsequence-sum/,2020-04-26,Hard,2194,104,Array;Dynamic Programming;Queue;Sliding Window;Heap (Priority Queue);Monotonic Queue,"[10,2,-10,5,20]\n2\n[-1,-2,-3]\n1\n[10,-2,-10,-5,20]\n2"
3213,3482,Construct String with Minimum Cost,construct-string-with-minimum-cost,https://leetcode.com/problems/construct-string-with-minimum-cost/,2024-07-07,Hard,161,28,Array;String;Dynamic Programming;Suffix Array,"""abcdef""\n[""abdef"",""abc"",""d"",""def"",""ef""]\n[100,1,1,10,5]\n""aaaa""\n[""z"",""zz"",""zzz""]\n[1,10,100]"
1354,1479,Construct Target Array With Multiple Sums,construct-target-array-with-multiple-sums,https://leetcode.com/problems/construct-target-array-with-multiple-sums/,2020-02-16,Hard,2063,169,Array;Heap (Priority Queue),"[9,3,5]\n[1,1,1,2]\n[8,5]"
3269,3586,Constructing Two Increasing Arrays,constructing-two-increasing-arrays,https://leetcode.com/problems/constructing-two-increasing-arrays/,2024-08-28,Hard,10,1,Array;Dynamic Programming,"[]\n[1,0,1,1]\n[0,1,0,1]\n[1,0,0,1]\n[0,1,0,0,1]\n[0,0,0,1]"
749,750,Contain Virus,contain-virus,https://leetcode.com/problems/contain-virus/,2017-12-16,Hard,414,463,Array;Depth-First Search;Breadth-First Search;Matrix;Simulation,"[[0,1,0,0,0,0,0,1],[0,1,0,0,0,0,0,1],[0,0,0,0,0,0,0,1],[0,0,0,0,0,0,0,0]]\n[[1,1,1],[1,0,1],[1,1,1]]\n[[1,1,1,0,0,0,0,0,0],[1,0,1,0,1,1,1,1,1],[1,1,1,0,0,0,0,0,0]]"
220,220,Contains Duplicate III,contains-duplicate-iii,https://leetcode.com/problems/contains-duplicate-iii/,2015-06-01,Hard,1163,123,Array;Sliding Window;Sorting;Bucket Sort;Ordered Set,"[1,2,3,1]\n3\n0\n[1,5,9,1,5,9]\n2\n3"
1575,1680,Count All Possible Routes,count-all-possible-routes,https://leetcode.com/problems/count-all-possible-routes/,2020-09-05,Hard,1653,60,Array;Dynamic Programming;Memoization,"[2,3,6,8,4]\n1\n3\n5\n[4,3,1]\n1\n0\n6\n[5,2,1]\n0\n2\n3"
1359,1461,Count All Valid Pickup and Delivery Options,count-all-valid-pickup-and-delivery-options,https://leetcode.com/problems/count-all-valid-pickup-and-delivery-options/,2020-02-22,Hard,3067,233,Math;Dynamic Programming;Combinatorics,1\n2\n3
3267,3544,Count Almost Equal Pairs II,count-almost-equal-pairs-ii,https://leetcode.com/problems/count-almost-equal-pairs-ii/,2024-08-25,Hard,80,22,Array;Hash Table;Sorting;Counting;Enumeration,"[1023,2310,2130,213]\n[1,10,100]"
2514,2605,Count Anagrams,count-anagrams,https://leetcode.com/problems/count-anagrams/,2022-12-24,Hard,450,41,Hash Table;Math;String;Combinatorics;Counting,"""too hot""\n""aa"""
2183,2301,Count Array Pairs Divisible by K,count-array-pairs-divisible-by-k,https://leetcode.com/problems/count-array-pairs-divisible-by-k/,2022-02-20,Hard,904,38,Array;Math;Number Theory,"[1,2,3,4,5]\n2\n[1,2,3,4]\n5"
2949,3208,Count Beautiful Substrings II,count-beautiful-substrings-ii,https://leetcode.com/problems/count-beautiful-substrings-ii/,2023-11-26,Hard,200,8,Hash Table;Math;String;Number Theory;Prefix Sum,"""baeyh""\n2\n""abba""\n1\n""bcdf""\n1"
2953,3223,Count Complete Substrings,count-complete-substrings,https://leetcode.com/problems/count-complete-substrings/,2023-12-03,Hard,236,39,Hash Table;String;Sliding Window,"""igigee""\n2\n""aaabbbccc""\n3"
730,730,Count Different Palindromic Subsequences,count-different-palindromic-subsequences,https://leetcode.com/problems/count-different-palindromic-subsequences/,2017-11-19,Hard,1972,102,String;Dynamic Programming,"""bccb""\n""abcdabcdabcdabcdabcdabcdabcdabcddcbadcbadcbadcbadcbadcbadcbadcba"""
2088,2193,Count Fertile Pyramids in a Land,count-fertile-pyramids-in-a-land,https://leetcode.com/problems/count-fertile-pyramids-in-a-land/,2021-11-27,Hard,385,21,Array;Dynamic Programming;Matrix,"[[0,1,1,0],[1,1,1,1]]\n[[1,1,1],[1,1,1]]\n[[1,1,1,1,0],[1,1,1,1,1],[1,1,1,1,1],[0,1,0,0,1]]"
2179,2280,Count Good Triplets in an Array,count-good-triplets-in-an-array,https://leetcode.com/problems/count-good-triplets-in-an-array/,2022-02-19,Hard,972,111,Array;Binary Search;Divide and Conquer;Binary Indexed Tree;Segment Tree;Merge Sort;Ordered Set,"[2,0,1,3]\n[0,1,2,3]\n[4,0,1,3,2]\n[4,1,0,2,3]"
2753,2897,Count Houses in a Circular Street II,count-houses-in-a-circular-street-ii,https://leetcode.com/problems/count-houses-in-a-circular-street-ii/,2023-06-28,Hard,27,3,,"[1,1,1,1]\n10\n[1,0,1,1,0]\n5"
2552,2682,Count Increasing Quadruplets,count-increasing-quadruplets,https://leetcode.com/problems/count-increasing-quadruplets/,2023-01-29,Hard,395,69,Array;Dynamic Programming;Binary Indexed Tree;Enumeration;Prefix Sum,"[1,3,2,4,5]\n[1,2,3,4]"
2276,2357,Count Integers in Intervals,count-integers-in-intervals,https://leetcode.com/problems/count-integers-in-intervals/,2022-05-15,Hard,604,61,Design;Segment Tree;Ordered Set,"[""CountIntervals"",""add"",""add"",""count"",""add"",""count""]\n[[],[2,3],[7,10],[],[5,8],[]]"
2842,3057,Count K-Subsequences of a String With Maximum Beauty,count-k-subsequences-of-a-string-with-maximum-beauty,https://leetcode.com/problems/count-k-subsequences-of-a-string-with-maximum-beauty/,2023-09-02,Hard,351,33,Hash Table;Math;String;Greedy;Combinatorics,"""bcca""\n2\n""abbcd""\n4"
2792,3016,Count Nodes That Are Great Enough,count-nodes-that-are-great-enough,https://leetcode.com/problems/count-nodes-that-are-great-enough/,2023-07-26,Hard,23,0,Divide and Conquer;Tree;Depth-First Search;Binary Tree,"[7,6,5,4,3,2,1]\n2\n[1,2,3]\n1\n[3,1,2]\n2"
2581,2652,Count Number of Possible Root Nodes,count-number-of-possible-root-nodes,https://leetcode.com/problems/count-number-of-possible-root-nodes/,2023-03-04,Hard,314,9,Array;Hash Table;Dynamic Programming;Tree;Depth-First Search,"[[0,1],[1,2],[1,3],[4,2]]\n[[1,3],[0,1],[1,0],[2,4]]\n3\n[[0,1],[1,2],[2,3],[3,4]]\n[[1,0],[3,4],[2,1],[3,2]]\n1"
1955,2086,Count Number of Special Subsequences,count-number-of-special-subsequences,https://leetcode.com/problems/count-number-of-special-subsequences/,2021-08-01,Hard,534,11,Array;Dynamic Programming,"[0,1,2,2]\n[2,2,0,0]\n[0,1,2,0,1,2]"
2719,2757,Count of Integers,count-of-integers,https://leetcode.com/problems/count-of-integers/,2023-06-04,Hard,540,12,Math;String;Dynamic Programming,"""1""\n""12""\n1\n8\n""1""\n""5""\n1\n5"
327,327,Count of Range Sum,count-of-range-sum,https://leetcode.com/problems/count-of-range-sum/,2016-01-10,Hard,2431,257,Array;Binary Search;Divide and Conquer;Binary Indexed Tree;Segment Tree;Merge Sort;Ordered Set,"[-2,5,-1]\n-2\n2\n[0]\n0\n0"
315,315,Count of Smaller Numbers After Self,count-of-smaller-numbers-after-self,https://leetcode.com/problems/count-of-smaller-numbers-after-self/,2015-12-06,Hard,9060,247,Array;Binary Search;Divide and Conquer;Binary Indexed Tree;Segment Tree;Merge Sort;Ordered Set,"[5,2,6,1]\n[-1]\n[-1,-1]"
2902,3091,Count of Sub-Multisets With Bounded Sum,count-of-sub-multisets-with-bounded-sum,https://leetcode.com/problems/count-of-sub-multisets-with-bounded-sum/,2023-10-14,Hard,157,25,Array;Hash Table;Dynamic Programming;Sliding Window,"[1,2,2,3]\n6\n6\n[2,1,4,2,7]\n1\n5\n[1,2,1,3,5,2]\n3\n5"
1782,1891,Count Pairs Of Nodes,count-pairs-of-nodes,https://leetcode.com/problems/count-pairs-of-nodes/,2021-03-06,Hard,333,170,Array;Hash Table;Two Pointers;Binary Search;Graph;Sorting;Counting,"4\n[[1,2],[2,4],[1,3],[2,3],[2,1]]\n[2,3]\n5\n[[1,5],[1,5],[3,4],[2,5],[1,3],[5,1],[2,3],[2,5]]\n[1,2,3,4,5]"
