frontend_id,title,title_slug,created_at_approx,difficulty,has_python,python_path,has_cpp,cpp_path,match_strategy
772,Basic Calculator III,basic-calculator-iii,2018-01-23,Hard,1,Python/basic-calculator-iii.py,1,C++/basic-calculator-iii.cpp,name:slug/title
770,Basic Calculator IV,basic-calculator-iv,2018-01-20,Hard,1,Python/basic-calculator-iv.py,1,C++/basic-calculator-iv.cpp,name:slug/title
224,Basic Calculator,basic-calculator,2015-06-09,Hard,1,Python/basic-calculator.py,1,C++/basic-calculator.cpp,name:slug/title
2613,Beautiful Pairs,beautiful-pairs,2023-04-06,Hard,1,Python/beautiful-pairs.py,1,C++/beautiful-pairs.cpp,name:slug/title
296,Best Meeting Point,best-meeting-point,2015-10-22,Hard,1,Python/best-meeting-point.py,1,C++/best-meeting-point.cpp,name:slug/title
1515,Best Position for a Service Centre,best-position-for-a-service-centre,2020-07-12,Hard,1,Python/best-position-for-a-service-centre.py,1,C++/best-position-for-a-service-centre.cpp,name:slug/title
123,Best Time to Buy and Sell Stock III,best-time-to-buy-and-sell-stock-iii,2014-07-23,Hard,1,Python/best-time-to-buy-and-sell-stock-iii.py,1,C++/best-time-to-buy-and-sell-stock-ii.cpp,name:slug/title+cpp~contains
188,Best Time to Buy and Sell Stock IV,best-time-to-buy-and-sell-stock-iv,2015-02-17,Hard,1,Python/best-time-to-buy-and-sell-stock-iv.py,1,C++/best-time-to-buy-and-sell-stock-iv.cpp,name:slug/title
968,Binary Tree Cameras,binary-tree-cameras,2018-12-29,Hard,1,Python/binary-tree-cameras.py,1,C++/binary-tree-cameras.cpp,name:slug/title
124,Binary Tree Maximum Path Sum,binary-tree-maximum-path-sum,2013-11-30,Hard,1,Python/binary-tree-maximum-path-sum.py,1,C++/binary-tree-maximum-path-sum.cpp,name:slug/title
3161,Block Placement Queries,block-placement-queries,2024-05-25,Hard,1,Python/block-placement-queries.py,1,C++/block-placement-queries.cpp,name:slug/title
2286,Booking Concert Tickets in Groups,booking-concert-tickets-in-groups,2022-05-28,Hard,1,Python/booking-concert-tickets-in-groups.py,1,C++/booking-concert-tickets-in-groups.cpp,name:slug/title
1096,Brace Expansion II,brace-expansion-ii,2019-06-23,Hard,1,Python/brace-expansion-ii.py,1,C++/brace-expansion-ii.cpp,name:slug/title
803,Bricks Falling When Hit,bricks-falling-when-hit,2018-03-17,Hard,1,Python/bricks-falling-when-hit.py,1,C++/bricks-falling-when-hit.cpp,name:slug/title
2392,Build a Matrix With Conditions,build-a-matrix-with-conditions,2022-08-28,Hard,1,Python/build-a-matrix-with-conditions.py,1,C++/build-a-matrix-with-conditions.cpp,name:slug/title
1420,Build Array Where You Can Find The Maximum Exactly K Comparisons,build-array-where-you-can-find-the-maximum-exactly-k-comparisons,2020-04-19,Hard,1,Python/build-array-where-you-can-find-the-maximum-exactly-k-comparisons.py,1,C++/build-array-where-you-can-find-the-maximum-exactly-k-comparisons.cpp,name:slug/title
1597,Build Binary Expression Tree From Infix Expression,build-binary-expression-tree-from-infix-expression,2020-09-24,Hard,1,Python/build-binary-expression-tree-from-infix-expression.py,1,C++/build-binary-expression-tree-from-infix-expression.cpp,name:slug/title
1739,Building Boxes,building-boxes,2021-01-24,Hard,1,Python/building-boxes.py,1,C++/building-boxes.cpp,name:slug/title
312,Burst Balloons,burst-balloons,2015-11-29,Hard,1,Python/burst-balloons.py,1,C++/burst-balloons.cpp,name:slug/title
815,Bus Routes,bus-routes,2018-04-08,Hard,1,Python/bus-routes.py,1,C++/bus-routes.cpp,name:slug/title
3061,Calculate Trapping Rain Water,calculate-trapping-rain-water,2024-02-28,Hard,1,Python/trapping-rain-water.py,1,C++/trapping-rain-water.cpp,name:slug/title+py~contains+cpp~contains
135,Candy,candy,2013-11-04,Hard,1,Python/candy.py,1,C++/candy.cpp,name:slug/title
1776,Car Fleet II,car-fleet-ii,2021-02-28,Hard,1,Python/car-fleet-ii.py,1,C++/car-fleet-ii.cpp,name:slug/title
1728,Cat and Mouse II,cat-and-mouse-ii,2021-01-17,Hard,1,Python/cat-and-mouse-ii.py,1,C++/cat-and-mouse-ii.cpp,name:slug/title
913,Cat and Mouse,cat-and-mouse,2018-09-29,Hard,1,Python/cat-and-mouse.py,1,C++/cat-and-mouse.cpp,name:slug/title
810,Chalkboard XOR Game,chalkboard-xor-game,2018-03-31,Hard,1,Python/chalkboard-xor-game.py,1,C++/chalkboard-xor-gam.cpp,name:slug/title+cpp~contains
2307,Check for Contradictions in Equations,check-for-contradictions-in-equations,2022-06-15,Hard,1,Python/check-for-contradictions-in-equations.py,1,C++/check-for-contradictions-in-equations.cpp,name:slug/title
2060,Check if an Original String Exists Given Two Encoded Strings,check-if-an-original-string-exists-given-two-encoded-strings,2021-10-31,Hard,1,Python/check-if-an-original-string-exists-given-two-encoded-strings.py,1,C++/check-if-an-original-string-exists-given-two-encoded-strings.cpp,name:slug/title
1250,Check If It Is a Good Array,check-if-it-is-a-good-array,2019-11-03,Hard,1,Python/check-if-it-is-a-good-array.py,1,C++/check-if-it-is-a-good-array.cpp,name:slug/title
2543,Check if Point Is Reachable,check-if-point-is-reachable,2023-01-21,Hard,1,Python/check-if-point-is-reachable.py,1,C++/check-if-point-is-reachable.cpp,name:slug/title
1585,Check If String Is Transformable With Substring Sort Operations,check-if-string-is-transformable-with-substring-sort-operations,2020-09-13,Hard,1,Python/check-if-string-is-transformable-with-substring-sort-operations.py,1,C++/check-if-string-is-transformable-with-substring-sort-operations.cpp,name:slug/title
3235,Check if the Rectangle Corner Is Reachable,check-if-the-rectangle-corner-is-reachable,2024-07-28,Hard,1,Python/check-if-the-rectangle-corner-is-reachable.py,1,C++/check-if-the-rectangle-corner-is-reachable.cpp,name:slug/title
2267,Check if There Is a Valid Parentheses String Path,check-if-there-is-a-valid-parentheses-string-path,2022-05-08,Hard,1,Python/check-if-there-is-a-valid-parentheses-string-path.py,1,C++/check-if-there-is-a-valid-parentheses-string-path.cpp,name:slug/title
1724,Checking Existence of Edge Length Limited Paths II,checking-existence-of-edge-length-limited-paths-ii,2021-01-14,Hard,1,Python/checking-existence-of-edge-length-limited-paths-ii.py,1,C++/checking-existence-of-edge-length-limited-paths-ii.cpp,name:slug/title
1697,Checking Existence of Edge Length Limited Paths,checking-existence-of-edge-length-limited-paths,2020-12-20,Hard,1,Python/checking-existence-of-edge-length-limited-paths.py,1,C++/checking-existence-of-edge-length-limited-paths.cpp,name:slug/title
1463,Cherry Pickup II,cherry-pickup-ii,2020-05-30,Hard,1,Python/cherry-pickup-ii.py,1,C++/cherry-pickup-ii.cpp,name:slug/title
741,Cherry Pickup,cherry-pickup,2017-12-03,Hard,1,Python/cherry-pickup.py,1,C++/cherry-pickup.cpp,name:slug/title
2143,Choose Numbers From Two Arrays in Range,choose-numbers-from-two-arrays-in-range,2022-01-20,Hard,1,Python/choose-numbers-from-two-arrays-in-range.py,1,C++/choose-numbers-from-two-arrays-in-range.cpp,name:slug/title
272,Closest Binary Search Tree Value II,closest-binary-search-tree-value-ii,2015-08-30,Hard,1,Python/closest-binary-search-tree-value-ii.py,1,C++/closest-binary-search-tree-value-ii.cpp,name:slug/title
2277,Closest Node to Path in Tree,closest-node-to-path-in-tree,2022-05-21,Hard,1,Python/closest-node-to-path-in-tree.py,1,C++/closest-node-to-path-in-tree.cpp,name:slug/title
1847,Closest Room,closest-room,2021-05-01,Hard,1,Python/closest-room.py,1,C++/closest-room.cpp,name:slug/title
1755,Closest Subsequence Sum,closest-subsequence-sum,2021-02-07,Hard,1,Python/closest-subsequence-sum.py,1,C++/closest-subsequence-sum.cpp,name:slug/title
656,Coin Path,coin-path,2017-08-06,Hard,1,Python/coin-path.py,1,C++/coin-path.cpp,name:slug/title
2603,Collect Coins in a Tree,collect-coins-in-a-tree,2023-03-26,Hard,1,Python/collect-coins-in-a-tree.py,1,C++/collect-coins-in-a-tree.cpp,name:slug/title
2647,Color the Triangle Red,color-the-triangle-red,2023-04-19,Hard,1,Python/color-the-triangle-red.py,1,C++/color-the-triangle-red.cpp,name:slug/title
472,Concatenated Words,concatenated-words,2016-12-18,Hard,1,Python/concatenated-words.py,1,C++/concatenated-words.cpp,name:slug/title
1088,Confusing Number II,confusing-number-ii,2019-06-15,Hard,1,Python/confusing-number-ii.py,1,C++/confusing-number-ii.cpp,name:slug/title
829,Consecutive Numbers Sum,consecutive-numbers-sum,2018-05-06,Hard,1,Python/consecutive-numbers-sum.py,1,C++/consecutive-numbers-sum.cpp,name:slug/title
3213,Construct String with Minimum Cost,construct-string-with-minimum-cost,2024-07-07,Hard,1,Python/construct-string-with-minimum-cost.py,1,C++/construct-string-with-minimum-cost.cpp,name:slug/title
1354,Construct Target Array With Multiple Sums,construct-target-array-with-multiple-sums,2020-02-16,Hard,1,Python/construct-target-array-with-multiple-sums.py,1,C++/construct-target-array-with-multiple-sums.cpp,name:slug/title
3269,Constructing Two Increasing Arrays,constructing-two-increasing-arrays,2024-08-28,Hard,1,Python/constructing-two-increasing-arrays.py,1,C++/constructing-two-increasing-arrays.cpp,name:slug/title
749,Contain Virus,contain-virus,2017-12-16,Hard,1,Python/contain-virus.py,1,C++/contain-virus.cpp,name:slug/title
220,Contains Duplicate III,contains-duplicate-iii,2015-06-01,Hard,1,Python/contains-duplicate-iii.py,1,C++/contains-duplicate-iii.cpp,name:slug/title
1575,Count All Possible Routes,count-all-possible-routes,2020-09-05,Hard,1,Python/count-all-possible-routes.py,1,C++/count-all-possible-routes.cpp,name:slug/title
1359,Count All Valid Pickup and Delivery Options,count-all-valid-pickup-and-delivery-options,2020-02-22,Hard,1,Python/count-all-valid-pickup-and-delivery-options.py,1,C++/count-all-valid-pickup-and-delivery-options.cpp,name:slug/title
3267,Count Almost Equal Pairs II,count-almost-equal-pairs-ii,2024-08-25,Hard,1,Python/count-almost-equal-pairs-ii.py,1,C++/count-almost-equal-pairs-ii.cpp,name:slug/title
2514,Count Anagrams,count-anagrams,2022-12-24,Hard,1,Python/count-anagrams.py,1,C++/count-anagrams.cpp,name:slug/title
2183,Count Array Pairs Divisible by K,count-array-pairs-divisible-by-k,2022-02-20,Hard,1,Python/count-array-pairs-divisible-by-k.py,1,C++/count-array-pairs-divisible-by-k.cpp,name:slug/title
2949,Count Beautiful Substrings II,count-beautiful-substrings-ii,2023-11-26,Hard,1,Python/count-beautiful-substrings-ii.py,1,C++/count-beautiful-substrings-ii.cpp,name:slug/title
2953,Count Complete Substrings,count-complete-substrings,2023-12-03,Hard,1,Python/count-complete-substrings.py,1,C++/count-complete-substrings.cpp,name:slug/title
730,Count Different Palindromic Subsequences,count-different-palindromic-subsequences,2017-11-19,Hard,1,Python/count-different-palindromic-subsequences.py,1,C++/count-different-palindromic-subsequences.cpp,name:slug/title
2088,Count Fertile Pyramids in a Land,count-fertile-pyramids-in-a-land,2021-11-27,Hard,1,Python/count-fertile-pyramids-in-a-land.py,1,C++/count-fertile-pyramids-in-a-land.cpp,name:slug/title
2179,Count Good Triplets in an Array,count-good-triplets-in-an-array,2022-02-19,Hard,1,Python/count-good-triplets-in-an-array.py,1,C++/count-good-triplets-in-an-array.cpp,name:slug/title
2753,Count Houses in a Circular Street II,count-houses-in-a-circular-street-ii,2023-06-28,Hard,1,Python/count-houses-in-a-circular-street-ii.py,1,C++/count-houses-in-a-circular-street-ii.cpp,name:slug/title
2552,Count Increasing Quadruplets,count-increasing-quadruplets,2023-01-29,Hard,1,Python/count-increasing-quadruplets.py,1,C++/count-increasing-quadruplets.cpp,name:slug/title
2276,Count Integers in Intervals,count-integers-in-intervals,2022-05-15,Hard,1,Python/count-integers-in-intervals.py,1,C++/count-integers-in-intervals.cpp,name:slug/title
2842,Count K-Subsequences of a String With Maximum Beauty,count-k-subsequences-of-a-string-with-maximum-beauty,2023-09-02,Hard,1,Python/count-k-subsequences-of-a-string-with-maximum-beauty.py,1,C++/count-k-subsequences-of-a-string-with-maximum-beauty.cpp,name:slug/title
2792,Count Nodes That Are Great Enough,count-nodes-that-are-great-enough,2023-07-26,Hard,1,Python/count-nodes-that-are-great-enough.py,1,C++/count-nodes-that-are-great-enough.cpp,name:slug/title
2581,Count Number of Possible Root Nodes,count-number-of-possible-root-nodes,2023-03-04,Hard,1,Python/count-number-of-possible-root-nodes.py,1,C++/count-number-of-possible-root-nodes.cpp,name:slug/title
1955,Count Number of Special Subsequences,count-number-of-special-subsequences,2021-08-01,Hard,1,Python/count-number-of-special-subsequences.py,1,C++/count-number-of-special-subsequences.cpp,name:slug/title
2719,Count of Integers,count-of-integers,2023-06-04,Hard,1,Python/count-of-integers.py,1,C++/count-of-integers.cpp,name:slug/title
327,Count of Range Sum,count-of-range-sum,2016-01-10,Hard,1,Python/count-of-range-sum.py,1,C++/count-of-range-sum.cpp,name:slug/title
315,Count of Smaller Numbers After Self,count-of-smaller-numbers-after-self,2015-12-06,Hard,1,Python/count-of-smaller-numbers-after-self.py,1,C++/count-of-smaller-numbers-after-self.cpp,name:slug/title
2902,Count of Sub-Multisets With Bounded Sum,count-of-sub-multisets-with-bounded-sum,2023-10-14,Hard,1,Python/count-of-sub-multisets-with-bounded-sum.py,1,C++/count-of-sub-multisets-with-bounded-sum.cpp,name:slug/title
1782,Count Pairs Of Nodes,count-pairs-of-nodes,2021-03-06,Hard,1,Python/count-pairs-of-nodes.py,1,C++/count-pairs-of-nodes.cpp,name:slug/title
1803,Count Pairs With XOR in a Range,count-pairs-with-xor-in-a-range,2021-03-21,Hard,1,Python/count-pairs-with-xor-in-a-range.py,1,C++/count-pairs-with-xor-in-a-range.cpp,name:slug/title
2484,Count Palindromic Subsequences,count-palindromic-subsequences,2022-11-26,Hard,1,Python/count-palindromic-subsequences.py,1,C++/count-palindromic-subsequences.cpp,name:slug/title
2791,Count Paths That Can Form a Palindrome in a Tree,count-paths-that-can-form-a-palindrome-in-a-tree,2023-07-23,Hard,1,Python/count-paths-that-can-form-a-palindrome-in-a-tree.py,1,C++/count-paths-that-can-form-a-palindrome-in-a-tree.cpp,name:slug/title
3045,Count Prefix and Suffix Pairs II,count-prefix-and-suffix-pairs-ii,2024-02-18,Hard,1,Python/count-prefix-and-suffix-pairs-ii.py,1,C++/count-prefix-and-suffix-pairs-ii.cpp,name:slug/title
2376,Count Special Integers,count-special-integers,2022-08-14,Hard,1,Python/count-special-integers.py,1,C++/count-special-integers.cpp,name:slug/title
2801,Count Stepping Numbers in Range,count-stepping-numbers-in-range,2023-07-30,Hard,1,Python/count-stepping-numbers-in-range.py,1,C++/count-stepping-numbers-in-range.cpp,name:slug/title
2444,Count Subarrays With Fixed Bounds,count-subarrays-with-fixed-bounds,2022-10-16,Hard,1,Python/count-subarrays-with-fixed-bounds.py,1,C++/count-subarrays-with-fixed-bounds.cpp,name:slug/title
2488,Count Subarrays With Median K,count-subarrays-with-median-k,2022-11-27,Hard,1,Python/count-subarrays-with-median-k.py,1,C++/count-subarrays-with-median-k.cpp,name:slug/title
2302,Count Subarrays With Score Less Than K,count-subarrays-with-score-less-than-k,2022-06-11,Hard,1,Python/count-subarrays-with-score-less-than-k.py,1,C++/count-subarrays-with-score-less-than-k.cpp,name:slug/title
3298,Count Substrings That Can Be Rearranged to Contain a String II,count-substrings-that-can-be-rearranged-to-contain-a-string-ii,2024-09-22,Hard,1,Python/count-substrings-that-can-be-rearranged-to-contain-a-string-ii.py,1,C++/count-substrings-that-can-be-rearranged-to-contain-a-string-ii.cpp,name:slug/title
3261,Count Substrings That Satisfy K-Constraint II,count-substrings-that-satisfy-k-constraint-ii,2024-08-18,Hard,1,Python/count-substrings-that-satisfy-k-constraint-ii.py,1,C++/count-substrings-that-satisfy-k-constraint-ii.cpp,name:slug/title
1617,Count Subtrees With Max Distance Between Cities,count-subtrees-with-max-distance-between-cities,2020-10-11,Hard,1,Python/count-subtrees-with-max-distance-between-cities.py,1,C++/count-subtrees-with-max-distance-between-cities.cpp,name:slug/title
2963,Count the Number of Good Partitions,count-the-number-of-good-partitions,2023-12-10,Hard,1,Python/count-the-number-of-good-partitions.py,1,C++/count-the-number-of-good-partitions.cpp,name:slug/title
3017,Count the Number of Houses at a Certain Distance II,count-the-number-of-houses-at-a-certain-distance-ii,2024-01-21,Hard,1,Python/count-the-number-of-houses-at-a-certain-distance-ii.py,1,C++/count-the-number-of-houses-at-a-certain-distance-ii.cpp,name:slug/title
2338,Count the Number of Ideal Arrays,count-the-number-of-ideal-arrays,2022-07-10,Hard,1,Python/count-the-number-of-ideal-arrays.py,1,C++/count-the-number-of-ideal-arrays.cpp,name:slug/title
2972,Count the Number of Incremovable Subarrays II,count-the-number-of-incremovable-subarrays-ii,2023-12-23,Hard,1,Python/count-the-number-of-incremovable-subarrays-ii.py,1,C++/count-the-number-of-incremovable-subarrays-ii.cpp,name:slug/title
2954,Count the Number of Infection Sequences,count-the-number-of-infection-sequences,2023-12-03,Hard,1,Python/count-the-number-of-infection-sequences.py,1,C++/count-the-number-of-infection-sequences.cpp,name:slug/title
3193,Count the Number of Inversions,count-the-number-of-inversions,2024-06-22,Hard,1,Python/count-the-number-of-inversions.py,1,C++/count-the-number-of-inversions.cpp,name:slug/title
2519,Count the Number of K-Big Indices,count-the-number-of-k-big-indices,2022-12-28,Hard,1,Python/count-the-number-of-k-big-indices.py,1,C++/count-the-number-of-k-big-indices.cpp,name:slug/title
2999,Count the Number of Powerful Integers,count-the-number-of-powerful-integers,2024-01-06,Hard,1,Python/count-the-number-of-powerful-integers.py,1,C++/count-the-number-of-powerful-integers.cpp,name:slug/title
466,Count The Repetitions,count-the-repetitions,2016-12-04,Hard,1,Python/count-the-repetitions.py,1,C++/count-the-repetitions.cpp,name:slug/title
828,Count Unique Characters of All Substrings of a Given String,count-unique-characters-of-all-substrings-of-a-given-string,2018-05-05,Hard,1,Python/count-unique-characters-of-all-substrings-of-a-given-string.py,1,C++/count-unique-characters-of-all-substrings-of-a-given-string.cpp,name:slug/title
2867,Count Valid Paths in a Tree,count-valid-paths-in-a-tree,2023-09-24,Hard,1,Python/count-valid-paths-in-a-tree.py,1,C++/count-valid-paths-in-a-tree.cpp,name:slug/title
2876,Count Visited Nodes in a Directed Graph,count-visited-nodes-in-a-directed-graph,2023-10-01,Hard,1,Python/count-visited-nodes-in-a-directed-graph.py,1,C++/count-visited-nodes-in-a-directed-graph.cpp,name:slug/title
1220,Count Vowels Permutation,count-vowels-permutation,2019-10-06,Hard,1,Python/count-vowels-permutation.py,1,C++/count-vowels-permutation.cpp,name:slug/title
1916,Count Ways to Build Rooms in an Ant Colony,count-ways-to-build-rooms-in-an-ant-colony,2021-06-27,Hard,1,Python/count-ways-to-build-rooms-in-an-ant-colony.py,1,C++/count-ways-to-build-rooms-in-an-ant-colony.cpp,name:slug/title
1692,Count Ways to Distribute Candies,count-ways-to-distribute-candies,2020-12-16,Hard,1,Python/count-ways-to-distribute-candies.py,1,C++/count-ways-to-distribute-candies.cpp,name:slug/title
1735,Count Ways to Make Array With Product,count-ways-to-make-array-with-product,2021-01-23,Hard,1,Python/count-ways-to-make-array-with-product.py,1,C++/count-ways-to-make-array-with-product.cpp,name:slug/title
765,Couples Holding Hands,couples-holding-hands,2018-01-13,Hard,1,Python/couples-holding-hands.py,1,C++/couples-holding-hands.cpp,name:slug/title
630,Course Schedule III,course-schedule-iii,2017-06-24,Hard,1,Python/course-schedule-iii.py,1,C++/course-schedule-iii.cpp,name:slug/title
753,Cracking the Safe,cracking-the-safe,2017-12-24,Hard,1,Python/cracking-the-safe.py,1,C++/cracking-the-safe.cpp,name:slug/title
2440,Create Components With Same Value,create-components-with-same-value,2022-10-15,Hard,1,Python/create-components-with-same-value.py,1,C++/create-components-with-same-value.cpp,name:slug/title
321,Create Maximum Number,create-maximum-number,2015-12-23,Hard,1,Python/create-maximum-number.py,1,C++/create-maximum-number.cpp,name:slug/title
1649,Create Sorted Array through Instructions,create-sorted-array-through-instructions,2020-11-07,Hard,1,Python/create-sorted-array-through-instructions.py,1,C++/create-sorted-array-through-instructions.cpp,name:slug/title
1192,Critical Connections in a Network,critical-connections-in-a-network,2019-09-15,Hard,1,Python/critical-connections-in-a-network.py,1,C++/critical-connections-in-a-network.cpp,name:slug/title
675,Cut Off Trees for Golf Event,cut-off-trees-for-golf-event,2017-09-10,Hard,1,Python/cut-off-trees-for-golf-event.py,1,C++/cut-off-trees-for-golf-event.cpp,name:slug/title
2509,Cycle Length Queries in a Tree,cycle-length-queries-in-a-tree,2022-12-18,Hard,1,Python/cycle-length-queries-in-a-tree.py,1,C++/cycle-length-queries-in-a-tree.cpp,name:slug/title
352,Data Stream as Disjoint Intervals,data-stream-as-disjoint-intervals,2016-05-31,Hard,1,Python/data-stream-as-disjoint-intervals.py,1,C++/data-stream-as-disjoint-intervals.cpp,name:slug/title
639,Decode Ways II,decode-ways-ii,2017-07-08,Hard,1,Python/decode-ways-ii.py,1,C++/decode-ways-ii.cpp,name:slug/title
960,Delete Columns to Make Sorted III,delete-columns-to-make-sorted-iii,2018-12-15,Hard,1,Python/delete-columns-to-make-sorted-iii.py,1,C++/delete-columns-to-make-sorted-iii.cpp,name:slug/title
1948,Delete Duplicate Folders in System,delete-duplicate-folders-in-system,2021-07-25,Hard,1,Python/delete-duplicate-folders-in-system.py,1,C++/delete-duplicate-folders-in-system.cpp,name:slug/title
1687,Delivering Boxes from Storage to Ports,delivering-boxes-from-storage-to-ports,2020-12-12,Hard,1,Python/delivering-boxes-from-storage-to-ports.py,1,C++/delivering-boxes-from-storage-to-ports.cpp,name:slug/title
2296,Design a Text Editor,design-a-text-editor,2022-06-05,Hard,1,Python/design-a-text-editor.py,1,C++/design-a-text-editor.cpp,name:slug/title
631,Design Excel Sum Formula,design-excel-sum-formula,2017-06-25,Hard,1,Python/design-excel-sum-formula.py,1,C++/design-excel-sum-formula.cpp,name:slug/title
2642,Design Graph With Shortest Path Calculator,design-graph-with-shortest-path-calculator,2023-04-15,Hard,1,Python/design-graph-with-shortest-path-calculator.py,1,C++/design-graph-with-shortest-path-calculator.cpp,name:slug/title
588,Design In-Memory File System,design-in-memory-file-system,2017-05-20,Hard,1,Python/design-in-memory-file-system.py,1,C++/design-in-memory-file-system.cpp,name:slug/title
1912,Design Movie Rental System,design-movie-rental-system,2021-06-26,Hard,1,Python/design-movie-rental-system.py,1,C++/design-movie-rental-system.cpp,name:slug/title
642,Design Search Autocomplete System,design-search-autocomplete-system,2017-07-16,Hard,1,Python/design-search-autocomplete-system.py,1,C++/design-search-autocomplete-system.cpp,name:slug/title
1206,Design Skiplist,design-skiplist,2019-09-29,Hard,1,Python/design-skiplist.py,1,C++/design-skiplist.cpp,name:slug/title
2254,Design Video Sharing Platform,design-video-sharing-platform,2022-04-28,Hard,1,Python/design-video-sharing-platform.py,1,C++/design-video-sharing-platform.cpp,name:slug/title
1223,Dice Roll Simulation,dice-roll-simulation,2019-10-13,Hard,1,Python/dice-roll-simulation.py,1,C++/dice-roll-simulation.cpp,name:slug/title
2538,Difference Between Maximum and Minimum Price Sum,difference-between-maximum-and-minimum-price-sum,2023-01-15,Hard,1,Python/difference-between-maximum-and-minimum-price-sum.py,1,C++/difference-between-maximum-and-minimum-price-sum.cpp,name:slug/title
1067,Digit Count in Range,digit-count-in-range,2019-06-01,Hard,1,Python/digit-count-in-range.py,1,C++/digit-count-in-range.cpp,name:slug/title
1172,Dinner Plate Stacks,dinner-plate-stacks,2019-08-25,Hard,1,Python/dinner-plate-stacks.py,1,C++/dinner-plate-stacks.cpp,name:slug/title
2204,Distance to a Cycle in Undirected Graph,distance-to-a-cycle-in-undirected-graph,2022-03-17,Hard,1,Python/distance-to-a-cycle-in-undirected-graph.py,1,C++/distance-to-a-cycle-in-undirected-graph.cpp,name:slug/title
1316,Distinct Echo Substrings,distinct-echo-substrings,2020-01-11,Hard,1,Python/distinct-echo-substrings.py,1,C++/distinct-echo-substrings.cpp,name:slug/title
940,Distinct Subsequences II,distinct-subsequences-ii,2018-11-10,Hard,1,Python/distinct-subsequences-ii.py,1,C++/distinct-subsequences-ii.cpp,name:slug/title
115,Distinct Subsequences,distinct-subsequences,2013-11-17,Hard,1,Python/distinct-subsequences.py,1,C++/distinct-subsequences-ii.cpp,name:slug/title+cpp~contains
2927,Distribute Candies Among Children III,distribute-candies-among-children-iii,2023-11-08,Hard,1,Python/distribute-candies-among-children-iii.py,1,C++/distribute-candies-among-children-iii.cpp,name:slug/title
3072,Distribute Elements Into Two Arrays II,distribute-elements-into-two-arrays-ii,2024-03-03,Hard,1,Python/distribute-elements-into-two-arrays-ii.py,1,C++/distribute-elements-into-two-arrays-ii.cpp,name:slug/title
1655,Distribute Repeating Integers,distribute-repeating-integers,2020-11-14,Hard,1,Python/distribute-repeating-integers.py,1,C++/distribute-repeating-integers.cpp,name:slug/title
3013,Divide an Array Into Subarrays With Minimum Cost II,divide-an-array-into-subarrays-with-minimum-cost-ii,2024-01-20,Hard,1,Python/divide-an-array-into-subarrays-with-minimum-cost-ii.py,1,C++/divide-an-array-into-subarrays-with-minimum-cost-ii.cpp,name:slug/title
1121,Divide Array Into Increasing Sequences,divide-array-into-increasing-sequences,2019-07-13,Hard,1,Python/divide-array-into-increasing-sequences.py,1,C++/divide-array-into-increasing-sequences.cpp,name:slug/title
1231,Divide Chocolate,divide-chocolate,2019-10-19,Hard,1,Python/divide-chocolate.py,1,C++/divide-chocolate.cpp,name:slug/title
