problem,language,path,avg_duration_sec,avg_pkg_joules,avg_dram_joules,error,trimmed_problem,exists_in_accepted
330__patching-array,cpp,new_transpiled_solutions/330__patching-array/cpp/patching-array_benchmark.cpp,0.003166127204895,0.0440854,0.0043822999999999,,patching-array,True
330__patching-array,python2,new_transpiled_solutions/330__patching-array/cpp/patching-array_with_tests.py,0.020359468460083,0.3189383,0.0231689,,patching-array,True
332__reconstruct-itinerary,cpp,new_transpiled_solutions/332__reconstruct-itinerary/cpp/reconstruct-itinerary_benchmark.cpp,0.0142375469207763,0.2089349,0.0152647,,reconstruct-itinerary,True
332__reconstruct-itinerary,python2,new_transpiled_solutions/332__reconstruct-itinerary/cpp/reconstruct-itinerary_with_tests.py,0.1154382705688476,1.9152844,0.0680968,,reconstruct-itinerary,True
335__self-crossing,cpp,new_transpiled_solutions/335__self-crossing/cpp/self-crossing_benchmark.cpp,0.0024269580841064,0.0406616,0.0034974999999999,,self-crossing,True
335__self-crossing,python2,new_transpiled_solutions/335__self-crossing/cpp/self-crossing_with_tests.py,,,,"Command '['python2', 'new_transpiled_solutions/335__self-crossing/cpp/self-crossing_with_tests.py']' returned non-zero exit status 1.",self-crossing,True
352__data-stream-as-disjoint-intervals,cpp,new_transpiled_solutions/352__data-stream-as-disjoint-intervals/cpp/data-stream-as-disjoint-intervals_benchmark.cpp,0.005472445487976,0.0930603,0.0087217,,data-stream-as-disjoint-intervals,True
352__data-stream-as-disjoint-intervals,python2,new_transpiled_solutions/352__data-stream-as-disjoint-intervals/cpp/data-stream-as-disjoint-intervals_with_tests.py,,,,"Command '['python2', 'new_transpiled_solutions/352__data-stream-as-disjoint-intervals/cpp/data-stream-as-disjoint-intervals_with_tests.py']' returned non-zero exit status 1.",data-stream-as-disjoint-intervals,True
354__russian-doll-envelopes,cpp,new_transpiled_solutions/354__russian-doll-envelopes/cpp/russian-doll-envelopes_benchmark.cpp,0.0410537481307983,0.7115949,0.0370421,,russian-doll-envelopes,True
354__russian-doll-envelopes,python2,new_transpiled_solutions/354__russian-doll-envelopes/cpp/russian-doll-envelopes_with_tests.py,0.469900918006897,7.4398615,0.1864987,,russian-doll-envelopes,True
391__perfect-rectangle,cpp,new_transpiled_solutions/391__perfect-rectangle/cpp/perfect-rectangle_benchmark.cpp,0.0086099386215209,0.1331112,0.0109864,,perfect-rectangle,True
391__perfect-rectangle,python2,new_transpiled_solutions/391__perfect-rectangle/cpp/perfect-rectangle_with_tests.py,0.0911489009857177,1.546999,0.0597286999999999,,perfect-rectangle,True
403__frog-jump,cpp,new_transpiled_solutions/403__frog-jump/cpp/frog-jump_benchmark.cpp,0.014042592048645,0.2261102,0.0164003,,frog-jump,True
403__frog-jump,python2,new_transpiled_solutions/403__frog-jump/cpp/frog-jump_with_tests.py,0.0525163650512695,0.9235938,0.0506164,,frog-jump,True
407__trapping-rain-water-ii,cpp,new_transpiled_solutions/407__trapping-rain-water-ii/cpp/trapping-rain-water-ii_benchmark.cpp,0.1058853387832641,1.6073323,0.0614194,,trapping-rain-water-ii,True
407__trapping-rain-water-ii,python2,new_transpiled_solutions/407__trapping-rain-water-ii/cpp/trapping-rain-water-ii_with_tests.py,2.0487377643585205,32.3034514,0.6862593,,trapping-rain-water-ii,True
410__split-array-largest-sum,cpp,new_transpiled_solutions/410__split-array-largest-sum/cpp/split-array-largest-sum_benchmark.cpp,0.0641790390014648,0.9906349,0.0466858,,split-array-largest-sum,True
410__split-array-largest-sum,python2,new_transpiled_solutions/410__split-array-largest-sum/cpp/split-array-largest-sum_with_tests.py,1.894134283065796,29.8843228,0.6365278,,split-array-largest-sum,True
41__first-missing-positive,cpp,new_transpiled_solutions/41__first-missing-positive/cpp/first-missing-positive_benchmark.cpp,0.0696852207183837,1.028269,0.0529539,,first-missing-positive,True
41__first-missing-positive,python2,new_transpiled_solutions/41__first-missing-positive/cpp/first-missing-positive_with_tests.py,6.649370431900024,102.6829465,2.2194339,,first-missing-positive,True
42__trapping-rain-water,cpp,new_transpiled_solutions/42__trapping-rain-water/cpp/trapping-rain-water_benchmark.cpp,0.002973985671997,0.0505187,0.0040708,,trapping-rain-water,True
42__trapping-rain-water,python2,new_transpiled_solutions/42__trapping-rain-water/cpp/trapping-rain-water_with_tests.py,0.0613578796386718,1.0212438,0.0486204,,trapping-rain-water,True
432__all-oone-data-structure,cpp,new_transpiled_solutions/432__all-oone-data-structure/cpp/all-oone-data-structure_benchmark.cpp,0.0301951646804809,0.4887989,0.0291443,,all-oone-data-structure,True
432__all-oone-data-structure,python2,new_transpiled_solutions/432__all-oone-data-structure/cpp/all-oone-data-structure_with_tests.py,0.0797686576843261,1.3191616,0.0529783,,all-oone-data-structure,True
440__k-th-smallest-in-lexicographical-order,cpp,new_transpiled_solutions/440__k-th-smallest-in-lexicographical-order/cpp/k-th-smallest-in-lexicographical-order_benchmark.cpp,0.0060885429382324,0.1088679,0.0099425,,k-th-smallest-in-lexicographical-order,True
440__k-th-smallest-in-lexicographical-order,python2,new_transpiled_solutions/440__k-th-smallest-in-lexicographical-order/cpp/k-th-smallest-in-lexicographical-order_with_tests.py,,,,"Command '['python2', 'new_transpiled_solutions/440__k-th-smallest-in-lexicographical-order/cpp/k-th-smallest-in-lexicographical-order_with_tests.py']' returned non-zero exit status 1.",k-th-smallest-in-lexicographical-order,True
446__arithmetic-slices-ii-subsequence,cpp,new_transpiled_solutions/446__arithmetic-slices-ii-subsequence/cpp/arithmetic-slices-ii-subsequence_benchmark.cpp,0.1160428762435913,1.7735731,0.0648252,,arithmetic-slices-ii-subsequence,True
446__arithmetic-slices-ii-subsequence,python2,new_transpiled_solutions/446__arithmetic-slices-ii-subsequence/cpp/arithmetic-slices-ii-subsequence_with_tests.py,0.3422016143798828,5.3736983,0.1393858,,arithmetic-slices-ii-subsequence,True
460__lfu-cache,cpp,new_transpiled_solutions/460__lfu-cache/cpp/lfu-cache_benchmark.cpp,0.0207144737243652,0.3018486,0.0211486,,lfu-cache,True
460__lfu-cache,python2,new_transpiled_solutions/460__lfu-cache/cpp/lfu-cache_with_tests.py,,,,"Command '['python2', 'new_transpiled_solutions/460__lfu-cache/cpp/lfu-cache_with_tests.py']' returned non-zero exit status 1.",lfu-cache,True
472__concatenated-words,cpp,new_transpiled_solutions/472__concatenated-words/cpp/concatenated-words_benchmark.cpp,0.0492989540100097,0.742094,0.0393004,,concatenated-words,True
472__concatenated-words,python2,new_transpiled_solutions/472__concatenated-words/cpp/concatenated-words_with_tests.py,0.2401463747024536,3.7359828,0.1028989,,concatenated-words,True
479__largest-palindrome-product,cpp,new_transpiled_solutions/479__largest-palindrome-product/cpp/largest-palindrome-product_benchmark.cpp,0.0378512859344482,0.6395858,0.0362242,,largest-palindrome-product,True
479__largest-palindrome-product,python2,new_transpiled_solutions/479__largest-palindrome-product/cpp/largest-palindrome-product_with_tests.py,0.6036582946777344,9.2868234,0.222857,,largest-palindrome-product,True
480__sliding-window-median,cpp,new_transpiled_solutions/480__sliding-window-median/cpp/sliding-window-median_benchmark.cpp,0.0258668661117553,0.4017689,0.0244508,,sliding-window-median,True
480__sliding-window-median,python2,new_transpiled_solutions/480__sliding-window-median/cpp/sliding-window-median_with_tests.py,0.3411780357360839,5.4239729,0.1408446,,sliding-window-median,True
483__smallest-good-base,cpp,new_transpiled_solutions/483__smallest-good-base/cpp/smallest-good-base_benchmark.cpp,0.0551916122436523,0.7856061,0.0412595,,smallest-good-base,True
483__smallest-good-base,python2,new_transpiled_solutions/483__smallest-good-base/cpp/smallest-good-base_with_tests.py,0.0902154207229614,1.5165487,0.058453,,smallest-good-base,True
493__reverse-pairs,cpp,new_transpiled_solutions/493__reverse-pairs/cpp/reverse-pairs_benchmark.cpp,0.0624137878417968,0.9984532,0.043567,,reverse-pairs,True
493__reverse-pairs,python2,new_transpiled_solutions/493__reverse-pairs/cpp/reverse-pairs_with_tests.py,1.8208328485488887,28.4647464,0.6230452,,reverse-pairs,True
4__median-of-two-sorted-arrays,cpp,new_transpiled_solutions/4__median-of-two-sorted-arrays/cpp/median-of-two-sorted-arrays_benchmark.cpp,0.0030622243881225,0.0498169,0.0041567,,median-of-two-sorted-arrays,True
4__median-of-two-sorted-arrays,python2,new_transpiled_solutions/4__median-of-two-sorted-arrays/cpp/median-of-two-sorted-arrays_with_tests.py,0.0370046854019165,0.6409041,0.0369262,,median-of-two-sorted-arrays,True
514__freedom-trail,cpp,new_transpiled_solutions/514__freedom-trail/cpp/freedom-trail_benchmark.cpp,0.01468505859375,0.2398981,0.0168639,,freedom-trail,True
514__freedom-trail,python2,new_transpiled_solutions/514__freedom-trail/cpp/freedom-trail_with_tests.py,0.2022216796875,3.1424845,0.0912779,,freedom-trail,True
51__n-queens,cpp,new_transpiled_solutions/51__n-queens/cpp/n-queens_benchmark.cpp,4.079935026168823,57.9313397,1.3557766,,n-queens,True
51__n-queens,python2,new_transpiled_solutions/51__n-queens/cpp/n-queens_with_tests.py,,,,"Command '['python2', 'new_transpiled_solutions/51__n-queens/cpp/n-queens_with_tests.py']' returned non-zero exit status 1.",n-queens,True
52__n-queens-ii,cpp,new_transpiled_solutions/52__n-queens-ii/cpp/n-queens-ii_benchmark.cpp,0.0962326765060424,1.4658226,0.064862,,n-queens-ii,True
52__n-queens-ii,python2,new_transpiled_solutions/52__n-queens-ii/cpp/n-queens-ii_with_tests.py,2.140805196762085,33.3048954,0.7228194,,n-queens-ii,True
546__remove-boxes,cpp,new_transpiled_solutions/546__remove-boxes/cpp/remove-boxes_benchmark.cpp,0.0046599864959716,0.0883787,0.0068298,,remove-boxes,True
546__remove-boxes,python2,new_transpiled_solutions/546__remove-boxes/cpp/remove-boxes_with_tests.py,0.161400032043457,2.6332453,0.082672,,remove-boxes,True
552__student-attendance-record-ii,cpp,new_transpiled_solutions/552__student-attendance-record-ii/cpp/student-attendance-record-ii_benchmark.cpp,0.0278998374938964,0.3743583,0.0277281,,student-attendance-record-ii,True
552__student-attendance-record-ii,python2,new_transpiled_solutions/552__student-attendance-record-ii/cpp/student-attendance-record-ii_with_tests.py,0.6694080352783203,10.4234107,0.2487115,,student-attendance-record-ii,True
564__find-the-closest-palindrome,cpp,new_transpiled_solutions/564__find-the-closest-palindrome/cpp/find-the-closest-palindrome_benchmark.cpp,0.0175201892852783,0.2855218,0.0219786,,find-the-closest-palindrome,True
564__find-the-closest-palindrome,python2,new_transpiled_solutions/564__find-the-closest-palindrome/cpp/find-the-closest-palindrome_with_tests.py,,,,"Command '['python2', 'new_transpiled_solutions/564__find-the-closest-palindrome/cpp/find-the-closest-palindrome_with_tests.py']' returned non-zero exit status 1.",find-the-closest-palindrome,True
587__erect-the-fence,cpp,new_transpiled_solutions/587__erect-the-fence/cpp/erect-the-fence_benchmark.cpp,0.0229321002960205,0.3784901,0.0236696,,erect-the-fence,True
587__erect-the-fence,python2,new_transpiled_solutions/587__erect-the-fence/cpp/erect-the-fence_with_tests.py,0.2247565984725952,3.5945403,0.1003476,,erect-the-fence,True
591__tag-validator,cpp,new_transpiled_solutions/591__tag-validator/cpp/tag-validator_benchmark.cpp,0.0038348674774169,0.064752,0.0055787,,tag-validator,True
591__tag-validator,python2,new_transpiled_solutions/591__tag-validator/cpp/tag-validator_with_tests.py,0.0618831872940063,1.1001681,0.0542053,,tag-validator,True
600__non-negative-integers-without-consecutive-ones,cpp,new_transpiled_solutions/600__non-negative-integers-without-consecutive-ones/cpp/non-negative-integers-without-consecutive-ones_benchmark.cpp,0.0030871629714965,0.0597472,0.0045653,,non-negative-integers-without-consecutive-ones,True
600__non-negative-integers-without-consecutive-ones,python2,new_transpiled_solutions/600__non-negative-integers-without-consecutive-ones/cpp/non-negative-integers-without-consecutive-ones_with_tests.py,0.0595481395721435,0.9859105,0.0452515,,non-negative-integers-without-consecutive-ones,True
60__permutation-sequence,cpp,new_transpiled_solutions/60__permutation-sequence/cpp/permutation-sequence_benchmark.cpp,0.0045653820037841,0.0746579,0.0067627,,permutation-sequence,True
60__permutation-sequence,python2,new_transpiled_solutions/60__permutation-sequence/cpp/permutation-sequence_with_tests.py,0.0459212779998779,0.7928205,0.0402769,,permutation-sequence,True
629__k-inverse-pairs-array,cpp,new_transpiled_solutions/629__k-inverse-pairs-array/cpp/k-inverse-pairs-array_benchmark.cpp,0.042007040977478,0.6934678,0.0373104,,k-inverse-pairs-array,True
629__k-inverse-pairs-array,python2,new_transpiled_solutions/629__k-inverse-pairs-array/cpp/k-inverse-pairs-array_with_tests.py,4.155109810829162,67.1340871,1.3919458,,k-inverse-pairs-array,True
630__course-schedule-iii,cpp,new_transpiled_solutions/630__course-schedule-iii/cpp/course-schedule-iii_benchmark.cpp,0.0125924825668334,0.1955072,0.0146667,,course-schedule-iii,True
630__course-schedule-iii,python2,new_transpiled_solutions/630__course-schedule-iii/cpp/course-schedule-iii_with_tests.py,0.1107526779174804,1.8233474,0.0653499,,course-schedule-iii,True
639__decode-ways-ii,cpp,new_transpiled_solutions/639__decode-ways-ii/cpp/decode-ways-ii_benchmark.cpp,0.0035324096679687,0.0642026,0.0053831999999999,,decode-ways-ii,True
639__decode-ways-ii,python2,new_transpiled_solutions/639__decode-ways-ii/cpp/decode-ways-ii_with_tests.py,0.069183874130249,1.2002289,0.0599606,,decode-ways-ii,True
65__valid-number,cpp,new_transpiled_solutions/65__valid-number/cpp/valid-number_benchmark.cpp,0.007536244392395,0.1488274,0.0108338,,valid-number,True
65__valid-number,python2,new_transpiled_solutions/65__valid-number/cpp/valid-number_with_tests.py,0.0317398786544799,0.4791613,0.0333983,,valid-number,True
664__strange-printer,cpp,new_transpiled_solutions/664__strange-printer/cpp/strange-printer_benchmark.cpp,0.0100464582443237,0.170898,0.0131469,,strange-printer,True
664__strange-printer,python2,new_transpiled_solutions/664__strange-printer/cpp/strange-printer_with_tests.py,0.2837748765945435,4.5919988,0.1276668,,strange-printer,True
668__kth-smallest-number-in-multiplication-table,cpp,new_transpiled_solutions/668__kth-smallest-number-in-multiplication-table/cpp/kth-smallest-number-in-multiplication-table_benchmark.cpp,0.2609191179275513,2.9742234,0.1108822,,kth-smallest-number-in-multiplication-table,True
668__kth-smallest-number-in-multiplication-table,python2,new_transpiled_solutions/668__kth-smallest-number-in-multiplication-table/cpp/kth-smallest-number-in-multiplication-table_with_tests.py,4.12914743423462,65.8908592,1.3666224,,kth-smallest-number-in-multiplication-table,True
675__cut-off-trees-for-golf-event,cpp,new_transpiled_solutions/675__cut-off-trees-for-golf-event/cpp/cut-off-trees-for-golf-event_benchmark.cpp,0.0149578809738159,0.2311151,0.0159912,,cut-off-trees-for-golf-event,True
675__cut-off-trees-for-golf-event,python2,new_transpiled_solutions/675__cut-off-trees-for-golf-event/cpp/cut-off-trees-for-golf-event_with_tests.py,,,,"Command '['python2', 'new_transpiled_solutions/675__cut-off-trees-for-golf-event/cpp/cut-off-trees-for-golf-event_with_tests.py']' returned non-zero exit status 1.",cut-off-trees-for-golf-event,True
679__24-game,cpp,new_transpiled_solutions/679__24-game/cpp/24-game_benchmark.cpp,0.234396743774414,3.5794037,0.102673,,24-game,True
679__24-game,python2,new_transpiled_solutions/679__24-game/cpp/24-game_with_tests.py,10.335959148406982,166.7046757,3.3805577,,24-game,True
685__redundant-connection-ii,cpp,new_transpiled_solutions/685__redundant-connection-ii/cpp/redundant-connection-ii_benchmark.cpp,0.004996633529663,0.0869566,0.006549,,redundant-connection-ii,True
685__redundant-connection-ii,python2,new_transpiled_solutions/685__redundant-connection-ii/cpp/redundant-connection-ii_with_tests.py,0.0660971641540527,1.1926606,0.056616,,redundant-connection-ii,True
68__text-justification,cpp,new_transpiled_solutions/68__text-justification/cpp/text-justification_benchmark.cpp,0.0051151514053344,0.0866210999999999,0.0073424,,text-justification,True
68__text-justification,python2,new_transpiled_solutions/68__text-justification/cpp/text-justification_with_tests.py,0.1655941724777221,2.7718679,0.0900448,,text-justification,True
691__stickers-to-spell-word,cpp,new_transpiled_solutions/691__stickers-to-spell-word/cpp/stickers-to-spell-word_benchmark.cpp,0.0130613327026367,0.1736812,0.0147279,,stickers-to-spell-word,True
691__stickers-to-spell-word,python2,new_transpiled_solutions/691__stickers-to-spell-word/cpp/stickers-to-spell-word_with_tests.py,0.4399020910263062,6.970356,0.1651914,,stickers-to-spell-word,True
699__falling-squares,cpp,new_transpiled_solutions/699__falling-squares/cpp/falling-squares_benchmark.cpp,0.0113664865493774,0.1603207,0.0122253,,falling-squares,True
699__falling-squares,python2,new_transpiled_solutions/699__falling-squares/cpp/falling-squares_with_tests.py,0.131846284866333,2.1661503,0.0736325,,falling-squares,True
715__range-module,cpp,new_transpiled_solutions/715__range-module/cpp/range-module_benchmark.cpp,0.0051702260971069,0.0821899,0.0069761,,range-module,True
715__range-module,python2,new_transpiled_solutions/715__range-module/cpp/range-module_with_tests.py,0.0752169847488403,1.2543791,0.0545349,,range-module,True
